id,from_id,to_id,edge_type,edge_type_norm,status,risk_level,confidence,evidence_json,evidence_text,business_rule,last_updated,next_action,risk_reason,from_node_type,to_node_type,ai_ready,needs_review,text_for_embedding
edge_0010,role_overseas_inbound_docs_coordinator,concept_boe,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:role_overseas_inbound_docs_coordinator"", ""target_node:concept_boe"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:role_overseas_inbound_docs_coordinator | target_node:concept_boe | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,ActorRole,BOEDocument,true,false,edge_0010 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:role_overseas_inbound_docs_coordinator | target_node:concept_boe | relation:references | confidence:EXTRACTED
edge_0011,role_overseas_inbound_docs_coordinator,concept_customs_clearance,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:role_overseas_inbound_docs_coordinator"", ""target_node:concept_customs_clearance"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:role_overseas_inbound_docs_coordinator | target_node:concept_customs_clearance | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,ActorRole,CustomsEntry,true,false,edge_0011 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:role_overseas_inbound_docs_coordinator | target_node:concept_customs_clearance | relation:references | confidence:EXTRACTED
edge_0012,role_overseas_inbound_docs_coordinator,concept_do,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:role_overseas_inbound_docs_coordinator"", ""target_node:concept_do"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:role_overseas_inbound_docs_coordinator | target_node:concept_do | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,ActorRole,DeliveryOrderDocument,true,false,edge_0012 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:role_overseas_inbound_docs_coordinator | target_node:concept_do | relation:references | confidence:EXTRACTED
edge_0013,team_role_matrix,role_overseas_inbound_docs_coordinator,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:team_role_matrix"", ""target_node:role_overseas_inbound_docs_coordinator"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:team_role_matrix | target_node:role_overseas_inbound_docs_coordinator | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Document,ActorRole,true,false,edge_0013 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:team_role_matrix | target_node:role_overseas_inbound_docs_coordinator | relation:references | confidence:EXTRACTED
edge_0014,concept_customs_clearance_docs,concept_bl,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:concept_customs_clearance_docs"", ""target_node:concept_bl"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:concept_customs_clearance_docs | target_node:concept_bl | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Document,BillOfLadingDocument,true,false,edge_0014 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:concept_customs_clearance_docs | target_node:concept_bl | relation:references | confidence:EXTRACTED
edge_0015,concept_customs_clearance_docs,concept_boe,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:concept_customs_clearance_docs"", ""target_node:concept_boe"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:concept_customs_clearance_docs | target_node:concept_boe | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Document,BOEDocument,true,false,edge_0015 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:concept_customs_clearance_docs | target_node:concept_boe | relation:references | confidence:EXTRACTED
edge_0016,concept_customs_clearance_docs,concept_do,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:concept_customs_clearance_docs"", ""target_node:concept_do"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:concept_customs_clearance_docs | target_node:concept_do | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Document,DeliveryOrderDocument,true,false,edge_0016 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:concept_customs_clearance_docs | target_node:concept_do | relation:references | confidence:EXTRACTED
edge_0017,concept_customs_clearance_docs,concept_fanr,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:concept_customs_clearance_docs"", ""target_node:concept_fanr"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:concept_customs_clearance_docs | target_node:concept_fanr | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Document,CustomsEntry,true,false,edge_0017 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:concept_customs_clearance_docs | target_node:concept_fanr | relation:references | confidence:EXTRACTED
edge_0018,concept_customs_clearance_docs,concept_moiat,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:concept_customs_clearance_docs"", ""target_node:concept_moiat"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:concept_customs_clearance_docs | target_node:concept_moiat | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Document,CustomsEntry,true,false,edge_0018 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:concept_customs_clearance_docs | target_node:concept_moiat | relation:references | confidence:EXTRACTED
edge_0019,concept_customs_clearance_docs,concept_msds,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:concept_customs_clearance_docs"", ""target_node:concept_msds"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:concept_customs_clearance_docs | target_node:concept_msds | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Document,Document,true,false,edge_0019 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:concept_customs_clearance_docs | target_node:concept_msds | relation:references | confidence:EXTRACTED
edge_0020,concept_customs_clearance,concept_boe,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:concept_customs_clearance"", ""target_node:concept_boe"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:concept_customs_clearance | target_node:concept_boe | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,CustomsEntry,BOEDocument,true,false,edge_0020 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:concept_customs_clearance | target_node:concept_boe | relation:references | confidence:EXTRACTED
edge_0021,concept_non_collapse_rule,concept_boe,business_rule_for,GOVERNS,PASS,,EXTRACTED,"[""source_node:concept_non_collapse_rule"", ""target_node:concept_boe"", ""relation:rationale_for"", ""confidence:EXTRACTED""]",source_node:concept_non_collapse_rule | target_node:concept_boe | relation:rationale_for | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Document,BOEDocument,true,false,edge_0021 | GOVERNS | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:concept_non_collapse_rule | target_node:concept_boe | relation:rationale_for | confidence:EXTRACTED
edge_0022,concept_customs_clearance,concept_do,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:concept_customs_clearance"", ""target_node:concept_do"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:concept_customs_clearance | target_node:concept_do | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,CustomsEntry,DeliveryOrderDocument,true,false,edge_0022 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:concept_customs_clearance | target_node:concept_do | relation:references | confidence:EXTRACTED
edge_0023,concept_release_order,concept_do,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:concept_release_order"", ""target_node:concept_do"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:concept_release_order | target_node:concept_do | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,CustomsEntry,DeliveryOrderDocument,true,false,edge_0023 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:concept_release_order | target_node:concept_do | relation:references | confidence:EXTRACTED
edge_0024,concept_port_call,concept_bl,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:concept_port_call"", ""target_node:concept_bl"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:concept_port_call | target_node:concept_bl | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Document,BillOfLadingDocument,true,false,edge_0024 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:concept_port_call | target_node:concept_bl | relation:references | confidence:EXTRACTED
edge_0025,concept_permit_requirement,concept_fanr,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:concept_permit_requirement"", ""target_node:concept_fanr"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:concept_permit_requirement | target_node:concept_fanr | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Document,CustomsEntry,true,false,edge_0025 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:concept_permit_requirement | target_node:concept_fanr | relation:references | confidence:EXTRACTED
edge_0026,concept_permit_requirement,concept_moiat,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:concept_permit_requirement"", ""target_node:concept_moiat"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:concept_permit_requirement | target_node:concept_moiat | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Document,CustomsEntry,true,false,edge_0026 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:concept_permit_requirement | target_node:concept_moiat | relation:references | confidence:EXTRACTED
edge_0027,concept_exit_gate_pass,concept_backload,supports_process,SUPPORTS_PROCESS,PASS,,REVIEWED,"[""source_node:concept_exit_gate_pass"", ""target_node:concept_backload"", ""relation:supports_process"", ""confidence:REVIEWED""]",source_node:concept_exit_gate_pass | target_node:concept_backload | relation:supports_process | confidence:REVIEWED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Document,Document,true,false,edge_0027 | SUPPORTS_PROCESS | PASS | REVIEWED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:concept_exit_gate_pass | target_node:concept_backload | relation:supports_process | confidence:REVIEWED
edge_0028,member_roldan,concept_exit_gate_pass,performs_role,PERFORMS_ROLE,PASS,,EXTRACTED,"[""source_node:member_roldan"", ""target_node:concept_exit_gate_pass"", ""relation:performs"", ""confidence:EXTRACTED""]",source_node:member_roldan | target_node:concept_exit_gate_pass | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,Document,true,false,edge_0028 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_roldan | target_node:concept_exit_gate_pass | relation:performs | confidence:EXTRACTED
edge_0029,concept_shipment_tracking,concept_vessel_tracking,semantically_similar_to,SIMILAR_TO,PASS,,REVIEWED,"[""source_node:concept_shipment_tracking"", ""target_node:concept_vessel_tracking"", ""relation:semantically_similar_to"", ""confidence:REVIEWED""]",source_node:concept_shipment_tracking | target_node:concept_vessel_tracking | relation:semantically_similar_to | confidence:REVIEWED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Document,MarineOperation,true,false,edge_0029 | SIMILAR_TO | PASS | REVIEWED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:concept_shipment_tracking | target_node:concept_vessel_tracking | relation:semantically_similar_to | confidence:REVIEWED
edge_0030,member_haitham,concept_inspection_tpi,performs_role,PERFORMS_ROLE,PASS,,EXTRACTED,"[""source_node:member_haitham"", ""target_node:concept_inspection_tpi"", ""relation:performs"", ""confidence:EXTRACTED""]",source_node:member_haitham | target_node:concept_inspection_tpi | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,InspectionEvent,true,false,edge_0030 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_haitham | target_node:concept_inspection_tpi | relation:performs | confidence:EXTRACTED
edge_0031,member_haitham,concept_priority_list,performs_role,PERFORMS_ROLE,PASS,,EXTRACTED,"[""source_node:member_haitham"", ""target_node:concept_priority_list"", ""relation:performs"", ""confidence:EXTRACTED""]",source_node:member_haitham | target_node:concept_priority_list | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,Document,true,false,edge_0031 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_haitham | target_node:concept_priority_list | relation:performs | confidence:EXTRACTED
edge_0032,member_haitham,concept_sr,performs_role,PERFORMS_ROLE,PASS,,EXTRACTED,"[""source_node:member_haitham"", ""target_node:concept_sr"", ""relation:performs"", ""confidence:EXTRACTED""]",source_node:member_haitham | target_node:concept_sr | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,Document,true,false,edge_0032 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_haitham | target_node:concept_sr | relation:performs | confidence:EXTRACTED
edge_0033,member_haitham,concept_vessel_loading,performs_role,PERFORMS_ROLE,PASS,,EXTRACTED,"[""source_node:member_haitham"", ""target_node:concept_vessel_loading"", ""relation:performs"", ""confidence:EXTRACTED""]",source_node:member_haitham | target_node:concept_vessel_loading | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,MarineOperation,true,false,edge_0033 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_haitham | target_node:concept_vessel_loading | relation:performs | confidence:EXTRACTED
edge_0034,member_haitham,concept_vessel_tracking,performs_role,PERFORMS_ROLE,PASS,,EXTRACTED,"[""source_node:member_haitham"", ""target_node:concept_vessel_tracking"", ""relation:performs"", ""confidence:EXTRACTED""]",source_node:member_haitham | target_node:concept_vessel_tracking | relation:performs | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,MarineOperation,true,false,edge_0034 | PERFORMS_ROLE | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_haitham | target_node:concept_vessel_tracking | relation:performs | confidence:EXTRACTED
edge_0035,member_haitham,entity_mosb,references,REFERENCES,PASS,,EXTRACTED,"[""source_node:member_haitham"", ""target_node:entity_mosb"", ""relation:references"", ""confidence:EXTRACTED""]",source_node:member_haitham | target_node:entity_mosb | relation:references | confidence:EXTRACTED,Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export.,2026-06-14T17:35:31+04:00,Use relation as graph traversal path; keep provenance and source confidence.,,Person,OffshoreStagingNode,true,false,edge_0035 | REFERENCES | PASS | EXTRACTED | Edge relationship is explicit graph evidence; preserve source-target provenance in downstream KG export. | Use relation as graph traversal path; keep provenance and source confidence. |  | source_node:member_haitham | target_node:entity_mosb | relation:references | confidence:EXTRACTED
