risk_id,owner_type,owner_id,risk_level,status,reason,required_action,gate_policy,created_at
risk_node_consolidated_08_pii_redaction,NODE,consolidated_08_pii_redaction,AMBER_REVIEW,AMBER,AI-readable but operational decision remains conditional until source evidence is confirmed.,"Attach missing evidence, verify owner domain, then re-run graph metadata validation.",REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_node_role_eddel,NODE,role_eddel,ZERO_CANDIDATE,AMBER,Source evidence is missing or role-only; attach source file or reviewer proof before operational use.,"Attach missing evidence, verify owner domain, then re-run graph metadata validation.",BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_role_thushar,NODE,role_thushar,ZERO_CANDIDATE,AMBER,Source evidence is missing or role-only; attach source file or reviewer proof before operational use.,"Attach missing evidence, verify owner domain, then re-run graph metadata validation.",BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_node_role_shefeek,NODE,role_shefeek,ZERO_CANDIDATE,AMBER,Source evidence is missing or role-only; attach source file or reviewer proof before operational use.,"Attach missing evidence, verify owner domain, then re-run graph metadata validation.",BLOCK_OPERATIONAL_WRITEBACK_UNTIL_APPROVED,2026-06-14T17:34:09+00:00
risk_edge_edge_0053,EDGE_ASSERTION,edge_0053,AMBER_REVIEW,AMBER,"Inference-only relationship; use as decision support, not final operational truth.",Review inference against source evidence and upgrade to REVIEWED if confirmed.,REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_edge_edge_0055,EDGE_ASSERTION,edge_0055,AMBER_REVIEW,AMBER,"Inference-only relationship; use as decision support, not final operational truth.",Review inference against source evidence and upgrade to REVIEWED if confirmed.,REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_edge_edge_0088,EDGE_ASSERTION,edge_0088,AMBER_REVIEW,AMBER,"Inference-only relationship; use as decision support, not final operational truth.",Review inference against source evidence and upgrade to REVIEWED if confirmed.,REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_edge_edge_0104,EDGE_ASSERTION,edge_0104,AMBER_REVIEW,AMBER,"Inference-only relationship; use as decision support, not final operational truth.",Review inference against source evidence and upgrade to REVIEWED if confirmed.,REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_edge_edge_0151,EDGE_ASSERTION,edge_0151,AMBER_REVIEW,AMBER,"Inference-only relationship; use as decision support, not final operational truth.",Review inference against source evidence and upgrade to REVIEWED if confirmed.,REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_edge_edge_0178,EDGE_ASSERTION,edge_0178,AMBER_REVIEW,AMBER,"Inference-only relationship; use as decision support, not final operational truth.",Review inference against source evidence and upgrade to REVIEWED if confirmed.,REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_edge_edge_0216,EDGE_ASSERTION,edge_0216,AMBER_REVIEW,AMBER,"Inference-only relationship; use as decision support, not final operational truth.",Review inference against source evidence and upgrade to REVIEWED if confirmed.,REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
risk_edge_edge_0243,EDGE_ASSERTION,edge_0243,AMBER_REVIEW,AMBER,"Inference-only relationship; use as decision support, not final operational truth.",Review inference against source evidence and upgrade to REVIEWED if confirmed.,REVIEW_BEFORE_OPERATIONAL_USE,2026-06-14T17:34:09+00:00
